Country,GDP_per_Capita,Fuel_Price,Population_Density,Urbanization_Rate,CO2_Emissions,Emission_Category
United Kingdom,17987.84737206784,2.5277884552839107,503.25364049428026,9.216795847243231,,High
Taiwan,37282.06552600661,4.471067482052449,412.6073292985973,,291.6685916338884,Medium
Mexico,54799.292121734914,0.9756206595782334,953.4898209671102,,427.9989922719545,High
Australia,9207.85545444065,4.947238719500591,527.3143195647327,89.56979631993724,2846.875851846416,Medium
France,6946.881577937304,2.494728893496282,226.92630467523904,78.35000808452567,369.0046007479922,High
South Africa,16104.91637936607,0.7152386917734745,464.3738445835257,69.97052060994761,497.2027889201775,High
,102616079.46172592,0.6710983170685472,920.193530526946,61.694402738450194,340273.5278301267,Medium
Turkey,35984.81141027047,3.8579326586682736,184.33451661728876,,353.3078906977853,High
Australia,7030.547189286775,3.4656599039165634,221.81746830135447,22.30620615427569,429.9416888685721,High
Australia,55206.280813384044,4.109587511574144,22.89927207951291,87.31088427642277,462.11341250780254,High
South Africa,47614.99359032112,0.9741539027876268,24.04814890180951,78.94922984240523,373.0697109230458,High
Russia,2358.333682470613,0.6600689016599676,831.0977106889275,74.81608263876855,177.62356553771133,Medium
France,39430.66544830652,2.788606802514103,734.8013807745263,56.1255678074924,196.8269682060259,Medium
India,46503.55344266454,2.244178541672463,361.4906458874387,24.62441609706001,59.341114455783895,Low
South Africa,23091.6868135049,2.578761215019301,701.328045655297,42.35479159918963,392.3986899521793,High
China,5066.370822665908,4.962147839916233,401.2538670468705,814624.8630308436,69.23282272787812,Low
South Korea,5561.942863838448,4.868374809518016,953.3678280378492,3.1778484357324444,439.0935595712356,High
Germany,7150.5709970567605,4.740419253529367,967.3821546117744,78.20507692637582,103.39727651354248,Low
China,143649295.1219614,4.027292045454532,398.86583805125,24.00707404875665,127.34443046116591,Low
South Africa,54730.48569708707,2.096786121156007,12967853.133601315,,264.4369118745068,Medium
United States,8245.836128898294,2.354589186182472,775.3581512804915,11.570131818030216,382.04618682593406,High
South Korea,14918.45604110979,2.9732721967351603,316.8999378000714,2.725001195081511,112.55099233958497,Low
South Korea,10765.710111670096,4.23740505382178,239.71943061209487,52.35864852214529,248.0319837799243,Medium
Netherlands,11992.93189015312,0.8092077463322049,463.6523038889055,21.82598726937295,267.2830734845471,Medium
Canada,50411.95655114704,2.4093359864819965,783.5353522082622,98.94317657796316,145.5285387508661,Low
Indonesia,20596.6383466414,0.8717794855667091,960.566106881458,57.443675587220575,102.00126950628427,Low
Mexico,19375.21157869283,2.815959139580802,765.9432781779068,13.78852693560104,426.3894153435378,
Mexico,14416.341631749645,4.54505370802806,856.6549151681863,68.87625408113654,276.1095423932445,Medium
Turkey,36865.76923386126,4.0211821605377205,607.0336631088114,89.77435665097254,56.47155619286884,Low
South Korea,23379.036204747383,1.525290878943995,837.0537525337046,74.51794953696144,411.3415855890967,High
Taiwan,44910.72945875404,4.891958823194566,786.5766494233835,7.6439861039447665,491.3572124365632,High
India,13129.208694162611,3.503076791208928,383.21568650701727,89.58841811926595,322.6667879364113,High
Japan,47479.603434155055,0.5469246472883138,,79.39293858599648,276.6687741878318,Medium
Turkey,,1.6493606810834878,806.7055907697979,296913.9837227371,,High
United Kingdom,7741.770703285577,,271158.42346134986,5.178588873281687,478.6325553580694,High
South Africa,25455.770468014038,0.8116443782863697,809.9984895322716,55.73105753143085,389.5416121561073,High
Brazil,51947.570296164464,4.819219331341681,186.1092428085332,15.60358113399769,250.45381838042957,Medium
United Kingdom,55454.6536761106,2.6521488255916568,530987.3322895863,83.4590952595272,316.4996296991482,High
Saudi Arabia,28476.30721680998,85038.61475796824,810.1926851603782,35.833465667167374,365.4209142580997,High
